E1,Relation,E2
goal,was to identify,structural MRI grey matter volumes associated with longitudinal changes in each cognitive domain
impact of TNF-α on amyloidogenic processes in AD,needs to be,studied
"participants in S5, S6, and S7",were studied,studied
amyloid-β,included,study
BCHE-K carrier status,impact of,study
excluding outliers,after,study
individuals,were included in,study
measurements,were made in,study
model,in,study
participants,were in,study
plasma proteome,was of,study
researcher,conducting,study
researchers,were conducting,study
two-sample Mendelian randomization (MR) approach,used,study
WRAP,included,study
IVW,using,study causal association genetically inferred of Alzheimer's disease on prostate cancer
AD progression,may be influenced by,sub haplotypes
amyloid,was associated with,subcortical atrophy
these factors,used to distinguish between,subjective cognitive decline
community setting,in,subjective cognitive decline reflecting SCD-plus features
increased risk,was associated with,Subjective cognitive decline reflecting SCD-plus features
"risk of future MCI, AD, and all-cause dementia",was associated with,Subjective cognitive decline reflecting SCD-plus features
vascular and amyloid pathologies,have synergistic influence on,subsequent AD pathophysiology
amyloid pathologies,have independent influence on,subsequent AD pathophysiology in preclinical stages
vascular pathologies,have independent influence on,subsequent AD pathophysiology in preclinical stages
lateral temporal FDG PET,are most strongly associated with,subsequent ADAS-cog decline
volume,are most strongly associated with,subsequent ADAS-cog decline
Aβ accumulation,was associated with,subsequent cognitive decline
Tau positron emission tomography (PET) scan,is associated with,subsequent cognitive decline
indirect associations,can mislead,subsequent decision-making
indirect associations and spurious causal relationships,potentially misleading or incurring bias in,subsequent decision-making
indirect associations or spurious causal relationships,can potentially mislead or incur bias in,subsequent decision-making
spurious causal relationships,can incur bias in,subsequent decision-making
spurious causal relationships,potentially misleading,subsequent decision-making
spurious causal relationships,potentially incurring bias in,subsequent decision-making
indirect associations and spurious causal relationships,potentially misleading or incurring bias in,subsequent decision-making for brain disorders
baseline plasma p-tau217,associated with,subsequent decline in global cognition
longitudinal plasma p-tau217,associated with,subsequent decline in global cognition
burden,was associated with,subsequent declines
Amyloid positron emission tomography (PET) burden,was associated with,subsequent declines in global cognition
burden,was associated with,subsequent declines in global cognition
higher amyloid positron emission tomography (PET) burden,was associated with,subsequent declines in global cognition
Higher Amyloid positron emission tomography (PET) burden,was associated with,subsequent declines in global cognition
higher Amyloid positron emission tomography (PET) burden,was associated with,subsequent declines in global cognition
Amyloid positron emission tomography (PET) burden,was associated with,subsequent declines in language
higher amyloid positron emission tomography (PET) burden,was associated with,subsequent declines in language
Higher Amyloid positron emission tomography (PET) burden,was associated with,subsequent declines in language
higher Amyloid positron emission tomography (PET) burden,was associated with,subsequent declines in language
Higher Amyloid positron emission tomography (PET) burden,was associated with,subsequent declines in language and memory
higher Amyloid positron emission tomography (PET) burden,was associated with,subsequent declines in memory
higher amyloid positron emission tomography (PET) burden,was associated with,subsequent declines in memory
Higher Amyloid positron emission tomography (PET) burden,was associated with,subsequent declines in memory
Higher Amyloid positron emission tomography (PET) burden,was associated with,"subsequent declines in memory, language, and global cognition"
cerebrospinal fluid GAP-43 and plasma NfL,predicted,subsequent gray matter atrophy
early tau deposition,predicts,subsequent hippocampal atrophy
early tau pathology,is predictive of,subsequent memory decline
early tau pathology,is predictive of,subsequent neurodegeneration
mechanisms,leading to,subsequent neuronal dysfunction
mechanisms,do not lead to,subsequent neuronal dysfunction
mechanisms driving Tau aggregation,lead to,subsequent neuronal dysfunction
Tau aggregation,leads to,subsequent neuronal dysfunction
cognitive decline,associated with,substance use
the prevention or treatment of cognitive decline,associated with,substance use
findings,indicate,substance-specific influence on Tau dynamics
brain tissue,was associated with,substantial alterations
brain tissue harboring seeding-competent early tau multimers,is associated with,substantial gene expression alterations across diverse cell types
traumatic brain injury GFAP,were associated with,substantial trauma-associated elevations
traumatic brain injury NfL,were associated with,substantial trauma-associated elevations
traumatic brain injury t-tau,were associated with,substantial trauma-associated elevations
traumatic brain injury UCH-L1,were associated with,substantial trauma-associated elevations
pre-analytical factors,can cause,substantial variability in the measurements of cerebrospinal fluid (CSF) and plasma biomarkers of Alzheimer's disease (AD)
deep predictive neural network,generate,subtype assignment probability on an individual basis
Alzheimer's disease,can be identified by,subtype features
clinicians,can predict,subtype of future dementias
clinicians,predict,subtype of future dementias
neuropsychiatric symptoms associations,predict,subtype of future dementias
