E1,Relation,E2
subgroup classification strategy,can be adopted to,predict the risk of onset of diabetic kidney disease in Chinese individuals with T2DM
subgroup classification strategy,can be adopted to,predict the risk of progression of diabetic kidney disease in Chinese individuals with T2DM
subgroup classification strategy,cannot be adopted to predict,risk of onset and progression of diabetic kidney disease in Chinese individuals with T2DM
subjects,used for,final analysis
subjects,met the minimum frequency of,intervention
subjects,being included in the,statistical analysis
substance of tea,is unique in,TP
substance of TP,is most abundant in,tea
substantial biases,due to,small sample size
sufficient muscle mass,maintaining,reduced risk of ischemic stroke
sugar-containing drinks,cause,plasma glucose to rise much higher
suggestive association,was observed,adjusting for T2DM
Sulfonylureas,are associated with,reduced male infertility
summary-data-based MR,was utilized to estimate,causal effects
supplementation,led to,elevated MK-7 serum levels
supplementation,led to,reduction of PIIINP serum levels
supportive diagnostic test,could help rule out,other potential causes of DN in T2DM
suppression of intestinal dietary lipid absorption,led to,downregulation of both systemic fatty acid levels and fatty acid metabolism
suppression of protein tyrosine phosphatase-1B expression,is caused by,insulin resistance
suppression of tau phosphorylation,is associated with,decrease in TGF-β expression
suppression of the C3-C3aR-GSK3β axis,resulted in,significant improvement of cognition
suppression of the interaction between FOXO1 and ANGPTL4,results in,transcriptional synthesis of ANGPTL4
susceptibility to aortic dissection,was not significantly influenced by,glycemic traits
sustained high-fructose intake,led to,prediabetic symptoms in mice
SUVRs in the brain regions,correlated with,alkaline phosphatase
SUVRs in the brain regions,correlated with,apolipoprotein B
SUVRs in the brain regions,related to,blood glucose
SUVRs in the brain regions,associated with,blood pressure
SUVRs in the brain regions,associated with,blood triglycerides
SUVRs in the brain regions,correlated with,blood uric acid
SUVRs in the brain regions,correlated with,creatinine
SUVRs in the brain regions,correlated with,fasting blood glucose
SUVRs in the brain regions,correlated with,glutamic oxalacetic transaminase
SUVRs in the brain regions,associated with,gout
SUVRs in the brain regions,correlated with,potassium
SUVRs in the brain regions,correlated with,total bilirubin
SY-009 blood concentrations,were below,the limit of quantitation in all
sympathetic nerve activity,through,autonomic nervous system
symptoms,caused by,withdrawal
symptoms caused by withdrawal,reverse after,years
synbiotics,have limited impact on,inflammatory cytokines
synergistic methodology,elucidate,"causal associations between T2DM, medication treatments, and EC"
synergistic negative effects of type 2 diabetes and hypertension,increase,all-cause mortality
synergistic negative effects of type 2 diabetes and hypertension,increase,medical complexity of management
synthesis,offers,holistic therapeutic strategy
systematic review and meta-analysis,conducted,influence of emodin on T2DM animal models
systemic cold temperature,through,ambient temperature
systemic cold temperature,influences,organism's blood components
systemic inflammation,is the cause of,elevated risk of CAD in patients with T2DM
systemic lupus erythematosus,involves,neuroinflammation
systolic blood pressure,could increase the risk of,AA
Systolic Blood Pressure,partially mediated,causal relationship between Type 2 Diabetes Mellitus and FEV1 and FVC
systolic blood pressure,influenced,disease progression
systolic blood pressure,was associated with,higher incidence of urine ACR
systolic blood pressure,was favourably influenced in,intervention group
systolic blood pressure,was associated with,type 2 diabetic nephropathy
T allele,via,altered TCF7L2 expression
T allele,may contribute to,type 2 diabetes mellitus
T allele,contributes to,type 2 diabetes mellitus
T allele of the rs7903146 (C/T) Single nucleotide polymorphism,was associated with,two-fold higher risk of Type 2 diabetes mellitus
T1DM,has potential causal associations with,epilepsy
T1DM,have no significant reverse causal associations with,epilepsy
T1DM,has potential causal associations with,generalized epilepsy
T1DM,have no significant reverse causal associations with,generalized epilepsy
T1DM,was associated with,generalized epilepsy
T1DM,also increased the risk of,IBD
T1DM,was associated with,robust epilepsy
T1DM,was associated with,robust generalized epilepsy
T2DM,causal relationship between,AD
T2DM,has causal relationship with,AD
T2DM,causal relationship between remains unclear,AD
T2DM,is related to,all-cause mortality
T2DM,with,all-cause mortality
T2DM,link between,all-cause mortality in older individuals
T2DM,is linked to,all-cause mortality in older individuals
T2DM,exhibited a protective causal association with,ALS
T2DM,has protective influence on,ALS
T2DM,are characterized by,altered adipokine profiles
T2DM,associated with,altered adipokine profiles
T2DM,are risk factors for,Alzheimer's disease
T2DM,is associated with,AT
T2DM,was inversely associated with,benign and malignant cerebral meningiomas
T2DM,accompanies,bone metabolic disorders
T2DM,is associated with,brain networks
T2DM,leads to,CAD
T2DM,caused,cardiac function abnormalities
T2DM,is associated with,cardiovascular events
T2DM,due to,cardiovascular events
T2DM,through,causal links
T2DM,risk of,changed brain functional network connectivity
T2DM,associated with,changes in insulin sensitivity
T2DM,cause,changes in insulin sensitivity
T2DM,result in,changes in insulin sensitivity
T2DM,causes,cognitive decline
T2DM,results in,cognitive decline
T2DM,accompanies,cognitive impairment
T2DM,is influenced by,cold exposure
T2DM,is impacted by,cold exposure
T2DM,through,colocalization evidence
T2DM,is the,condition being studied
T2DM,have a positive causal effect on,COPD
T2DM,is a complication that causes,DACI
T2DM,causes,DACI
T2DM,results in,DACI
T2DM,leads to,DACI
T2DM,caused,decline in ejection fraction
T2DM,caused,decline in fractional shortening
T2DM,is associated with,decreased heart rate variability
T2DM,has causal relationship with,decreased lung function
T2DM,are causally associated with,diminished risk of EC
T2DM,is associated with,disturbance in gut fungi
T2DM,is a type of,DM
T2DM,causal relationship between,EC risk
T2DM,has a direct causal effect on,ED
T2DM,causal association between,Endometrial carcinoma risk
T2DM,is associated with,Endometrial carcinoma risk
T2DM,relationship between remains,GBM
T2DM,causal relationship with,gliclazide
T2DM,causal relationship between,gliclazide
T2DM,causal association was found between,HBV
T2DM,no causal association between,HCV
T2DM,has causal relationship with,hemiplegia
T2DM,increases the risk of,hemiplegia
T2DM,may increase the risk of,hemiplegia
T2DM,causes,hyposalivation
T2DM,can lead to,hyposalivation
T2DM,may cause,hyposalivation
T2DM,was between,IBD/UC
T2DM,are between,IBD/UC
T2DM,are to be explored,IBD/UC
T2DM,mechanisms between,IBD/UC
T2DM,related to,increased all-cause mortality
T2DM,was inversely associated with,increased BMI
T2DM,is associated with,increased risk of cardiovascular events
T2DM,associated with,increased risk of GBM
T2DM,is associated with,increased risk of HCC
T2DM,has causal relationship with,increased risk of liver cancer
T2DM,is a condition that,increases the risk of cardiovascular morbidity and mortality
T2DM,is associated with,inflammation
T2DM,causal relationship with,insulin
T2DM,through,metabolic derangements
T2DM,causal relationship with,metformin
T2DM,causal relationship between,metformin
